,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,-9999
1,Jayson Tatum,25,5,5,201,0.505,0.439,2.2,20.1,10.9,30.7,1.3,1.3,12.7,29.7,105,107,16.4,tatumja01
2,Jaylen Brown,27,5,5,193,0.535,0.488,2.3,13.9,8,23,2.2,1.7,12.6,27.4,106,107,14.9,brownja02
3,Jrue Holiday,33,5,5,189,0.623,0.607,7.7,14.4,11,16.3,0.8,1.6,10.8,16.2,125,110,13.4,holidjr01
4,Derrick White,29,5,5,184,0.591,0.546,4.2,11.1,7.5,10.7,1.7,2.5,9.3,16.6,118,109,11.6,whitede01
5,Sam Hauser,26,5,0,78,0.735,0.722,7.2,14.7,10.9,6.4,0.7,0,0,17,144,113,6.9,hausesa01
6,Kristaps Porziņģis,28,3,0,60,0.672,0.625,0,20.1,10.1,2.7,0,7.2,3.5,22.2,130,100,10,porzikr01
7,Al Horford,37,5,5,150,0.676,0.68,3.7,20.2,11.7,13.4,2.1,1.7,10.4,9.1,136,106,8.8,horfoal01
8,Payton Pritchard,26,5,0,62,0.304,0.304,3.6,9.6,6.4,23.6,0.8,0,9.7,24.1,65,117,0.9,pritcpa01
9,Oshae Brissett,25,3,0,19,0.717,0.625,6,12.9,9.3,0,0,4.8,0,12.8,146,127,2.3,brissos01
10,Xavier Tillman Sr.,25,2,0,19,0.872,0.833,12.1,20.9,16.1,11.4,0,8.4,22.5,11.7,136,114,3.5,tillmxa01
11,Svi Mykhailiuk,26,3,0,13,0.313,0.313,0,13.9,8.6,0,0,0,0,29.4,53,127,0.3,mykhasv01
12,Luke Kornet,28,3,0,15,0.5,0.5,14.7,0,7.2,21.7,3.5,0,0,6.3,143,120,1.3,kornelu01
13,Neemias Queta,24,1,0,5,1,1,0,0,0,0,0,16.4,0,9,200,129,2.4,quetane01
14,Jaden Springer,21,1,0,8,0,0,0,29.9,14.4,0,0,0,0,6.1,0,130,-0.1,sprinja01
15,Jordan Walsh,19,1,0,5,0,0,0,22.2,10.7,0,0,0,0,18,0,132,-1.1,walshjo01
,Team Totals,28.5,5,,1200,0.558,0.52,20.9,77.8,48.8,66.5,6.8,10.1,11.1,,111,108.4,,-9999